iter	Passed	Remaining
459	797	936
460	798	933
461	800	931
462	801	929
463	802	927
464	804	925
465	805	923
466	807	921
467	808	918
468	809	916
469	810	913
470	811	911
471	813	909
472	814	907
473	815	904
474	816	902
475	817	900
476	820	899
477	821	896
478	822	894
479	823	892
480	824	889
481	825	887
482	826	885
483	828	882
484	829	880
485	830	878
486	831	876
487	833	874
488	834	872
489	836	870
490	837	867
491	838	865
492	839	863
493	840	861
494	841	858
495	843	856
496	844	854
497	845	852
498	846	850
499	847	847
500	850	847
501	851	845
502	852	842
503	854	840
504	855	838
505	856	836
506	857	834
507	858	831
508	859	829
509	860	827
510	862	825
511	865	824
512	866	822
513	867	820
514	869	818
515	870	816
516	871	814
517	872	811
518	873	809
519	875	808
520	876	805
521	877	803
522	879	801
523	880	800
524	882	798
525	883	795
526	884	793
527	885	791
528	886	789
529	888	787
530	889	785
531	890	783
532	891	781
533	893	779
534	896	778
535	897	776
536	898	774
537	899	772
538	901	770
539	903	769
540	904	767
541	906	765
542	907	763
543	908	761
544	910	760
545	912	758
546	913	756
547	915	754
548	916	752
549	917	750
550	918	748
551	920	746
552	921	744
553	922	742
554	923	740
555	926	739
556	927	737
557	928	735
558	930	733
559	931	732
560	933	730
561	934	728
562	935	725
563	936	723
564	937	722
565	939	720
566	941	718
567	941	716
568	943	714
569	944	712
570	945	710
571	946	708
572	947	706
573	949	704
574	950	702
575	951	700
576	952	698
577	953	696
578	956	695
579	957	693
580	958	691
581	960	689
582	961	687
583	962	685
584	963	683
585	964	681
586	965	679
587	967	677
588	968	675
589	970	674
590	971	672
591	972	670
592	974	668
593	976	667
594	977	665
595	978	663
596	979	661
597	980	659
598	981	657
599	983	655
600	985	654
601	987	652
602	989	651
603	990	649
604	993	648
605	995	647
606	997	645
607	998	643
608	1000	642
609	1002	640
610	1003	638
611	1004	636
612	1005	634
613	1007	633
614	1008	631
615	1010	629
616	1012	628
617	1013	626
618	1015	624
619	1016	622
620	1017	621
621	1018	619
622	1019	617
623	1021	615
624	1023	614
625	1024	612
626	1026	610
627	1027	608
628	1028	606
629	1030	605
630	1032	603
631	1033	601
632	1034	599
633	1035	597
634	1037	596
635	1038	594
636	1039	592
637	1040	590
638	1042	588
639	1043	586
640	1045	585
641	1046	583
642	1047	581
643	1049	580
644	1050	578
645	1051	576
646	1053	574
647	1054	572
648	1056	571
649	1057	569
650	1059	567
651	1061	566
652	1062	564
653	1063	562
654	1064	560
655	1066	559
656	1067	557
657	1069	555
658	1070	554
659	1071	552
660	1073	550
661	1075	549
662	1077	547
663	1078	545
664	1079	543
665	1080	541
666	1081	540
667	1082	538
668	1083	536
669	1084	534
670	1086	532
671	1087	530
672	1088	528
673	1089	527
674	1091	525
675	1093	523
676	1094	522
677	1095	520
678	1096	518
679	1097	516
680	1098	514
681	1100	512
682	1101	511
683	1102	509
684	1103	507
685	1104	505
686	1107	504
687	1108	502
688	1109	500
689	1110	499
690	1112	497
691	1113	495
692	1114	493
693	1115	491
694	1117	490
695	1118	488
696	1119	486
697	1121	485
698	1123	483
699	1124	481
700	1125	480
701	1126	478
702	1127	476
703	1129	474
704	1130	473
705	1131	471
706	1132	469
707	1133	467
708	1136	466
709	1137	464
710	1138	462
711	1139	461
712	1140	459
713	1142	457
714	1143	455
715	1144	454
716	1146	452
717	1147	450
718	1148	448
719	1149	447
720	1151	445
721	1153	444
722	1154	442
723	1155	440
724	1156	438
725	1157	436
726	1158	435
727	1160	433
728	1161	431
729	1162	430
730	1163	428
731	1164	426
732	1165	424
733	1167	423
734	1168	421
735	1169	419
736	1171	417
737	1172	416
738	1173	414
739	1174	412
740	1175	410
741	1176	409
742	1178	407
743	1179	405
744	1180	404
745	1182	402
746	1183	400
747	1185	399
748	1186	397
749	1187	395
750	1189	394
751	1190	392
752	1191	390
753	1193	389
